,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
29,600519.XSHG,600519,贵州茅台,XSHG,2018-02-12,683.43,683.43,691.0,705.5,685.2,697.48,6417955,4466343242,25146,0.0051,0.9514423013,876172841544,876172841544,0.0206,36.1508,32.883,10.3866,1,695.914
30,600519.XSHG,600519,贵州茅台,XSHG,2018-02-13,697.48,697.48,705.02,714.82,704.5,711.98,5338918,3793782378,20724,0.0043,0.9514423013,894387709644,894387709644,0.0208,36.9023,33.5666,10.6025,1,710.59
31,600519.XSHG,600519,贵州茅台,XSHG,2018-02-14,711.98,711.98,720.0,720.0,712.22,718.45,3065260,2198728707,14572,0.0024,0.9514423013,902515309410,902515309410,0.0091,37.2377,33.8717,10.6989,1,717.306
32,600519.XSHG,600519,贵州茅台,XSHG,2018-02-22,718.45,718.45,727.3,744.0,723.24,742.45,5076469,3717469267,21093,0.004,0.9514423013,932664056610,932664056610,0.0334,38.4816,35.0032,11.0563,1,732.294
33,600519.XSHG,600519,贵州茅台,XSHG,2018-02-23,742.45,742.45,747.0,756.56,737.0,742.48,3815877,2844936758,20188,0.003,0.9514423013,932701742544,932701742544,0.0,38.4831,35.0046,11.0567,1,745.553
34,600519.XSHG,600519,贵州茅台,XSHG,2018-02-26,742.48,742.48,746.88,752.05,733.02,743.51,4365824,3243216345,17682,0.0035,0.9514423013,933995626278,933995626278,0.0014,38.5365,35.0531,11.072,1,742.865
35,600519.XSHG,600519,贵州茅台,XSHG,2018-02-27,743.51,743.51,749.0,756.0,737.22,737.98,4260154,3181778842,21014,0.0034,0.9514423013,927048852444,927048852444,-0.0074,38.2499,34.7924,10.9897,1,746.869
36,600519.XSHG,600519,贵州茅台,XSHG,2018-02-28,737.98,737.98,732.0,742.3,719.0,725.62,4833067,3522004686,21371,0.0038,0.9514423013,911522247636,911522247636,-0.0167,37.6093,34.2097,10.8056,1,728.731
37,600519.XSHG,600519,贵州茅台,XSHG,2018-03-01,725.62,725.62,728.0,746.85,723.77,741.97,4479465,3303604159,20651,0.0036,0.9514423013,932061081666,932061081666,0.0225,38.4567,34.9805,11.0491,1,737.5
38,600519.XSHG,600519,贵州茅台,XSHG,2018-03-02,741.97,741.97,738.0,743.56,730.0,736.41,2599190,1912613830,13364,0.0021,0.9514423013,925076621898,925076621898,-0.0075,38.1685,34.7184,10.9663,1,735.85
39,600519.XSHG,600519,贵州茅台,XSHG,2018-03-05,736.41,736.41,738.18,742.0,717.03,720.11,3723470,2703926955,20789,0.003,0.9514423013,904600597758,904600597758,-0.0221,37.3237,33.9499,10.7236,1,726.185
40,600519.XSHG,600519,贵州茅台,XSHG,2018-03-06,720.11,720.11,725.0,727.6,697.13,718.26,6457036,4581658583,28778,0.0051,0.9514423013,902276631828,902276631828,-0.0026,37.2278,33.8627,10.696,1,709.561
41,600519.XSHG,600519,贵州茅台,XSHG,2018-03-07,718.26,718.26,715.0,724.0,708.99,710.04,3459594,2480929043,18000,0.0028,0.9514423013,891950685912,891950685912,-0.0114,36.8018,33.4752,10.5736,1,717.116
42,600519.XSHG,600519,贵州茅台,XSHG,2018-03-08,710.04,710.04,714.0,724.0,708.0,722.76,3534930,2540452000,17267,0.0028,0.9514423013,907929521928,907929521928,0.0179,37.461,34.0749,10.763,1,718.671
43,600519.XSHG,600519,贵州茅台,XSHG,2018-03-09,722.76,722.76,727.55,732.57,723.5,728.2,3017100,2199081672,15654,0.0024,0.9514423013,914763237960,914763237960,0.0075,37.743,34.3313,10.8441,1,728.873
44,600519.XSHG,600519,贵州茅台,XSHG,2018-03-12,728.2,728.2,729.55,733.92,722.77,723.95,3988841,2900950557,19414,0.0032,0.9514423013,909424397310,909424397310,-0.0058,37.5227,34.131,10.7808,1,727.267
45,600519.XSHG,600519,贵州茅台,XSHG,2018-03-13,723.95,723.95,723.0,726.6,710.0,710.35,3857709,2764426996,18308,0.0031,0.9514423013,892340107230,892340107230,-0.0188,36.8178,33.4898,10.5782,1,716.598
46,600519.XSHG,600519,贵州茅台,XSHG,2018-03-14,710.35,710.35,709.67,728.08,707.22,726.88,3735576,2683830110,20172,0.003,0.9514423013,913105056864,913105056864,0.0233,37.6746,34.2691,10.8244,1,718.451
47,600519.XSHG,600519,贵州茅台,XSHG,2018-03-15,726.88,726.88,728.02,747.0,728.02,746.47,5614879,4161645760,26594,0.0045,0.9514423013,937713971766,937713971766,0.027,38.6899,35.1927,11.1161,1,741.182
48,600519.XSHG,600519,贵州茅台,XSHG,2018-03-16,746.47,746.47,747.6,753.98,738.88,739.85,3585552,2676682524,18437,0.0029,0.9514423013,929397942330,929397942330,-0.0089,38.3468,34.8806,11.0175,1,746.519
49,600519.XSHG,600519,贵州茅台,XSHG,2018-03-19,739.85,739.85,743.97,753.99,739.0,753.48,3866658,2897348542,17233,0.0031,0.9514423013,946519918344,946519918344,0.0184,39.0533,35.5232,11.2205,1,749.316
50,600519.XSHG,600519,贵州茅台,XSHG,2018-03-20,753.48,753.48,750.0,752.0,740.0,747.73,2887720,2154897794,13578,0.0023,0.9514423013,939296780994,939296780994,-0.0076,38.7553,35.2521,11.1349,1,746.228
51,600519.XSHG,600519,贵州茅台,XSHG,2018-03-21,747.73,747.73,750.11,753.11,740.0,742.0,2674271,1996584261,14474,0.0021,0.9514423013,932098767600,932098767600,-0.0077,38.4583,34.982,11.0496,1,746.59
52,600519.XSHG,600519,贵州茅台,XSHG,2018-03-22,742.0,742.0,744.0,748.0,724.01,726.08,3748697,2748721669,20392,0.003,0.9514423013,912100098624,912100098624,-0.0215,37.6331,34.2314,10.8125,1,733.247
53,600519.XSHG,600519,贵州茅台,XSHG,2018-03-23,726.08,726.08,701.0,723.49,700.08,711.06,5254677,3727044980,24029,0.0042,0.9514423013,893232007668,893232007668,-0.0207,36.8546,33.5233,10.5888,1,709.281
54,600519.XSHG,600519,贵州茅台,XSHG,2018-03-26,711.06,711.06,708.0,715.06,701.88,713.49,4625611,3276880070,19434,0.0037,0.9514423013,896284568322,896284568322,0.0034,33.0984,33.0984,9.8007,1,708.421
55,600519.XSHG,600519,贵州茅台,XSHG,2018-03-27,713.49,713.49,723.0,725.88,704.0,714.74,4754844,3399900239,21040,0.0038,0.9514423013,897854815572,897854815572,0.0018,33.1564,33.1564,9.8178,1,715.039
56,600519.XSHG,600519,贵州茅台,XSHG,2018-03-28,714.74,714.74,699.97,703.0,669.0,682.05,11353972,7786098263,51369,0.009,0.9514423013,856789709490,856789709490,-0.0457,31.64,31.64,9.3688,1,685.76
57,600519.XSHG,600519,贵州茅台,XSHG,2018-03-29,682.05,682.05,682.2,697.85,658.41,689.1,7908196,5362890034,35325,0.0063,0.9514423013,865645903980,865645903980,0.0103,31.967,31.967,9.4656,1,678.143
58,600519.XSHG,600519,贵州茅台,XSHG,2018-03-30,689.1,689.1,686.0,693.5,679.88,683.62,3654028,2502696336,18049,0.0029,0.9514423013,858761940036,858761940036,-0.008,31.7128,31.7128,9.3904,1,684.914
59,600519.XSHG,600519,贵州茅台,XSHG,2018-04-02,683.62,683.62,680.0,691.0,674.11,680.06,3203908,2185060765,17212,0.0026,0.9514423013,854289875868,854289875868,-0.0052,31.5476,31.5476,9.3415,1,681.999
60,600519.XSHG,600519,贵州茅台,XSHG,2018-04-03,680.06,680.06,678.0,687.0,675.39,677.91,4023558,2737509485,20671,0.0032,0.9514423013,851589050598,851589050598,-0.0032,31.4479,31.4479,9.3119,1,680.37
61,600519.XSHG,600519,贵州茅台,XSHG,2018-04-04,677.91,677.91,682.0,700.43,680.38,694.01,5689131,3948712791,25507,0.0045,0.9514423013,871813835178,871813835178,0.0237,32.1948,32.1948,9.5331,1,694.08
62,600519.XSHG,600519,贵州茅台,XSHG,2018-04-09,694.01,694.01,697.1,705.43,690.15,698.3,3083305,2149178951,15628,0.0025,0.9514423013,877202923740,877202923740,0.0062,32.3938,32.3938,9.592,1,697.037
63,600519.XSHG,600519,贵州茅台,XSHG,2018-04-10,698.3,698.3,704.8,708.5,698.46,708.02,3204325,2252069676,15443,0.0026,0.9514423013,889413166356,889413166356,0.0139,32.8447,32.8447,9.7255,1,702.822
64,600519.XSHG,600519,贵州茅台,XSHG,2018-04-11,708.02,708.02,710.0,714.78,703.02,705.36,2572318,1822237882,13735,0.002,0.9514423013,886071680208,886071680208,-0.0038,32.7213,32.7213,9.689,1,708.403
65,600519.XSHG,600519,贵州茅台,XSHG,2018-04-12,705.36,705.36,704.0,706.88,692.22,694.2,3071361,2139139504,15279,0.0024,0.9514423013,872052512760,872052512760,-0.0158,32.2036,32.2036,9.5357,1,696.479
66,600519.XSHG,600519,贵州茅台,XSHG,2018-04-13,694.2,694.2,698.5,701.0,685.08,686.86,2754952,1904051062,15050,0.0022,0.9514423013,862832020908,862832020908,-0.0106,31.8631,31.8631,9.4349,1,691.138
67,600519.XSHG,600519,贵州茅台,XSHG,2018-04-16,686.86,686.86,680.58,686.85,677.0,681.38,3293967,2241463093,14233,0.0026,0.9514423013,855948056964,855948056964,-0.008,31.6089,31.6089,9.3596,1,680.475
68,600519.XSHG,600519,贵州茅台,XSHG,2018-04-17,681.38,681.38,685.0,685.38,665.6,666.2,3517276,2377407817,16705,0.0028,0.9514423013,836878974360,836878974360,-0.0223,30.9047,30.9047,9.1511,1,675.923
69,600519.XSHG,600519,贵州茅台,XSHG,2018-04-18,666.2,666.2,671.0,671.0,645.0,655.64,6261660,4104175827,29471,0.005,0.9514423013,823613525592,823613525592,-0.0159,30.4148,30.4148,9.006,1,655.445
70,600519.XSHG,600519,贵州茅台,XSHG,2018-04-19,655.64,655.64,659.85,680.0,656.66,679.96,4420757,2976468492,22288,0.0035,0.9514423013,854164256088,854164256088,0.0371,31.543,31.543,9.3401,1,673.294
71,600519.XSHG,600519,贵州茅台,XSHG,2018-04-20,679.96,679.96,681.0,694.0,668.23,670.26,4151168,2831559751,22322,0.0033,0.9514423013,841979137428,841979137428,-0.0143,31.093,31.093,9.2068,1,682.112
72,600519.XSHG,600519,贵州茅台,XSHG,2018-04-23,670.26,670.26,666.01,680.33,666.01,674.01,3265920,2196761047,16565,0.0026,0.9514423013,846689879178,846689879178,0.0056,31.267,31.267,9.2583,1,672.632
73,600519.XSHG,600519,贵州茅台,XSHG,2018-04-24,674.01,674.01,676.0,693.5,675.0,689.88,4728256,3252280969,20885,0.0038,0.9514423013,866625738264,866625738264,0.0235,32.0032,32.0032,9.4763,1,687.839
74,600519.XSHG,600519,贵州茅台,XSHG,2018-04-25,689.88,689.88,689.0,692.0,683.02,690.97,2525222,1738767067,12871,0.002,0.9514423013,867994993866,867994993866,0.0016,32.0537,32.0537,9.4913,1,688.56
